@RELATION titanic

@ATTRIBUTE survived {0.0,1.0}
@ATTRIBUTE Pclass NUMERIC
@ATTRIBUTE Sex NUMERIC
@ATTRIBUTE Age NUMERIC
@ATTRIBUTE SibSp NUMERIC
@ATTRIBUTE Parch NUMERIC
@ATTRIBUTE Fare NUMERIC
@ATTRIBUTE embarkedC NUMERIC
@ATTRIBUTE embarkedQ NUMERIC
@ATTRIBUTE embarkedS NUMERIC

@DATA
0.0,0.345679012346,-0.35241301908,-0.09674689177,0.0596240179574,-0.0635989524878,-0.0487073701217,-0.188552188552,-0.0864197530864,0.27721661055
1.0,-0.654320987654,0.64758698092,0.104308649823,0.0596240179574,-0.0635989524878,0.0762773076987,0.811447811448,-0.0864197530864,-0.72278338945
1.0,0.345679012346,0.64758698092,-0.0464830063717,-0.0653759820426,-0.0635989524878,-0.0473898578659,-0.188552188552,-0.0864197530864,0.27721661055
1.0,-0.654320987654,0.64758698092,0.0666107357746,0.0596240179574,-0.0635989524878,0.0407858697717,-0.188552188552,-0.0864197530864,0.27721661055
0.0,0.345679012346,-0.35241301908,0.0666107357746,-0.0653759820426,-0.0635989524878,-0.0471458741149,-0.188552188552,-0.0864197530864,0.27721661055
0.0,0.345679012346,-0.35241301908,0.0,-0.0653759820426,-0.0635989524878,-0.0463489255904,-0.188552188552,0.913580246914,-0.72278338945
0.0,-0.654320987654,-0.35241301908,0.305364191417,-0.0653759820426,-0.0635989524878,0.0383704306361,-0.188552188552,-0.0864197530864,0.27721661055
0.0,0.345679012346,-0.35241301908,-0.348066318762,0.309624017957,0.103067714179,-0.0217227672531,-0.188552188552,-0.0864197530864,0.27721661055
1.0,0.345679012346,0.64758698092,-0.0339170350221,-0.0653759820426,0.269734380845,-0.0411276733174,-0.188552188552,-0.0864197530864,0.27721661055
1.0,-0.154320987654,0.64758698092,-0.197274662567,0.0596240179574,-0.0635989524878,-0.00416413502993,0.811447811448,-0.0864197530864,-0.72278338945
1.0,0.345679012346,0.64758698092,-0.322934376063,0.0596240179574,0.103067714179,-0.0302621985407,-0.188552188552,-0.0864197530864,0.27721661055
1.0,-0.654320987654,0.64758698092,0.355628076815,-0.0653759820426,-0.0635989524878,-0.0110362789561,-0.188552188552,-0.0864197530864,0.27721661055
0.0,0.345679012346,-0.35241301908,-0.121878834469,-0.0653759820426,-0.0635989524878,-0.0471458741149,-0.188552188552,-0.0864197530864,0.27721661055
0.0,0.345679012346,-0.35241301908,0.116874621173,0.0596240179574,0.769734380845,-0.00181369316559,-0.188552188552,-0.0864197530864,0.27721661055
0.0,0.345679012346,0.64758698092,-0.197274662567,-0.0653759820426,-0.0635989524878,-0.0475280502626,-0.188552188552,-0.0864197530864,0.27721661055
1.0,-0.154320987654,0.64758698092,0.317930162766,-0.0653759820426,-0.0635989524878,-0.0316285075467,-0.188552188552,-0.0864197530864,0.27721661055
0.0,0.345679012346,-0.35241301908,-0.348066318762,0.434624017957,0.103067714179,-0.00601021368404,-0.188552188552,0.913580246914,-0.72278338945
1.0,-0.154320987654,-0.35241301908,0.0,-0.0653759820426,-0.0635989524878,-0.0374841175724,-0.188552188552,-0.0864197530864,0.27721661055
0.0,0.345679012346,0.64758698092,0.0163468503762,0.0596240179574,-0.0635989524878,-0.0277247675295,-0.188552188552,-0.0864197530864,0.27721661055
1.0,0.345679012346,0.64758698092,0.0,-0.0653759820426,-0.0635989524878,-0.048756166872,0.811447811448,-0.0864197530864,-0.72278338945
0.0,-0.154320987654,-0.35241301908,0.0666107357746,-0.0653759820426,-0.0635989524878,-0.0121098074609,-0.188552188552,-0.0864197530864,0.27721661055
1.0,-0.154320987654,-0.35241301908,0.054044764425,-0.0653759820426,-0.0635989524878,-0.0374841175724,-0.188552188552,-0.0864197530864,0.27721661055
1.0,0.345679012346,0.64758698092,-0.184708691217,-0.0653759820426,-0.0635989524878,-0.0471864730111,-0.188552188552,0.913580246914,-0.72278338945
1.0,-0.654320987654,-0.35241301908,-0.0213510636725,-0.0653759820426,-0.0635989524878,0.00643295762066,-0.188552188552,-0.0864197530864,0.27721661055
0.0,0.345679012346,0.64758698092,-0.272670490664,0.309624017957,0.103067714179,-0.0217227672531,-0.188552188552,-0.0864197530864,0.27721661055
1.0,0.345679012346,0.64758698092,0.104308649823,0.0596240179574,0.769734380845,-0.00159410778963,-0.188552188552,-0.0864197530864,0.27721661055
0.0,0.345679012346,-0.35241301908,0.0,-0.0653759820426,-0.0635989524878,-0.048756166872,0.811447811448,-0.0864197530864,-0.72278338945
0.0,-0.654320987654,-0.35241301908,-0.134444805819,0.309624017957,0.269734380845,0.450483384573,-0.188552188552,-0.0864197530864,0.27721661055
1.0,0.345679012346,0.64758698092,0.0,-0.0653759820426,-0.0635989524878,-0.0474792535123,-0.188552188552,0.913580246914,-0.72278338945
0.0,0.345679012346,-0.35241301908,0.0,-0.0653759820426,-0.0635989524878,-0.0474468524702,-0.188552188552,-0.0864197530864,0.27721661055
